Expression,Lemmatized_Form,Type,Confidence,Length,Source_URL
"Bezeichnung ""","bezeichnung ""","COLLOCATION",0,613,2,"https://de.wikipedia.org/wiki/Search_Result_0"
": faz.net",": faz.net","COLLOCATION",0,697,2,"https://de.wikipedia.org/wiki/Search_Result_0"
": bundestag.de",": bundestag.de","COLLOCATION",0,697,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Reichstag","reichstag","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Unter den","unter den","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"eines Nachfolgers","eines nachfolgers","COLLOCATION",0,841,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundeskanzleramtes","bundeskanzleramtes","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Einzelwahl","einzelwahl","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"die beklagte","die beklagte","COLLOCATION",0,529,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"weil er","weil er","COLLOCATION",0,615,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Aussöhnung","aussöhnung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"das Amt","das amt","COLLOCATION",0,575,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Ministerpräsident genannt","ministerpräsident genannt","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Linkspartei","linkspartei","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"ARD Audiothek","ard audiothek","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundeskanzlern","bundeskanzlern","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"der Strafprozessordnung bzw","der strafprozessordnung bzw","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"Schlagwort","schlagwort","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Machtbefugnisse","machtbefugnisse","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Gegnerschaft","gegnerschaft","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein Kandidat","ein kandidat","COLLOCATION",0,632,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Ernennung eines","ernennung eines","COLLOCATION",0,726,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"einen weiteren Wahlgang","einen weiter wahlgang","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundeskanzler Üb","bundeskanzler üb","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"weiteren Wahlgang","weiter wahlgang","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Misstrauensvotums","misstrauensvotums","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Zu sehr","zu sehr","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundeskanzlers","bundeskanzlers","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"des Bundes","des bundes","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein gestellt","ein gestellt","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Tod Helmut","tod helmut","NAMED_ENTITY",0,850,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Artikel 115h","artikel 115h","COLLOCATION",0,869,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Regel auf","regel auf","COLLOCATION",0,684,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"des Bundestages","des bundestages","COLLOCATION",0,535,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Redezeit","redezeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"die mit","die mit","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"jedoch nicht","jedoch nicht","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"seiner Amtszeit","seiner amtszeit","COLLOCATION",0,670,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Auf diese","auf diese","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Willy Brandt","willy brandt","COLLOCATION",0,874,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Amtszeit fiel","amtszeit fiel","COLLOCATION",0,815,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Amt gewählt","amt gewählt","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Grundgehalt","grundgehalt","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"das Wort","das wort","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Regierung","regierung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"worden wäre","word wäre","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein anderes","ein anderes","COLLOCATION",0,764,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Nach Enttarnung","nach enttarnung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Volksbeauftragten","volksbeauftragten","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"und unterschrieb","und unterschrieb","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Parteien","parteien","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Politikwissenschaftler","politikwissenschaftler","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Roman Herzog","roman herzog","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundesrepublik","bundesrepublik","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"zu Entlassung","zu entlassung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Grundstein","grundstein","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"ISBN 3","isbn 3","COLLOCATION",0,862,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Vorgänger","vorgänger","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"den Gemeinsamen","den gemeinsamen","COLLOCATION",0,611,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"des Gesetzes","des gesetzes","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Interpretation","interpretation","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Aussenminister","aussenminister","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein und","ein und","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"und wurde","und wurde","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"zu und","zu und","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"63 Grundgesetz","63 grundgesetz","COLLOCATION",0,718,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"vor eingehende","vor eingehende","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"aus mit","aus mit","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Mal zur","mal zur","COLLOCATION",0,777,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"gab es","gab es","COLLOCATION",0,857,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundesnachrichtendienst","bundesnachrichtendienst","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Ernennung","ernennung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Rangordnung","rangordnung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"sondern auch","sondern auch","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Verrates","verrates","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Geschäftszweig selbstständig","geschäftszweig selbstständig","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"beschränkt ist","beschränkt ist","COLLOCATION",0,706,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Weiteres","weiteres","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Verteidigungsfalls","verteidigungsfalls","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Kurt Georg","kurt georg","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"das jedoch nicht","das jedoch nicht","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"absoluten Mehrheit","absolut mehrheit","COLLOCATION",0,925,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundesrepublik Deutschland","bundesrepublik deutschland","COLLOCATION",0,845,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bundesrat aus","bundesrat aus","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Waldemar Schreckenberger","waldemar schreckenberger","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"den damaligen","den damaligen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Reichsverweser","reichsverweser","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"nach Geschäftsordnung","nach geschäftsordnung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"oder aber","oder aber","COLLOCATION",0,512,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Dienste des","dienste des","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"stark beachtet","stark beachtet","COLLOCATION",1,000,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Versöhnung","versöhnung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Grundgesetz","grundgesetz","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Mitgliedschaft","mitgliedschaft","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"ihrer Amtszeit","ihr amtszeit","COLLOCATION",0,741,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"und seit","und seit","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"von Olaf","von olaf","COLLOCATION",0,533,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Geschäftsbereich des","geschäftsbereich des","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"auf einen","auf einen","COLLOCATION",0,567,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Wirtschaft in","wirtschaft in","COLLOCATION",0,530,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"sich nun","sich nun","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Geschichte","geschichte","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein eindeutiges","ein eindeutiges","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"die zweite Amtszeit","die zweit amtszeit","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"auf entschied","auf entschied","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"( Satz","( satz","COLLOCATION",0,527,2,"https://de.wikipedia.org/wiki/Search_Result_0"
""" genannt",""" genannt","COLLOCATION",0,613,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Anspruch auf","anspruch auf","COLLOCATION",0,684,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"mit und","mit und","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Allenfalls","allenfalls","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"über die","über die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"seit 2025","seit 2025","COLLOCATION",0,697,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"das Amt des","das amt des","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"Hier schreiben","hi schreiben","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Regierungsmitglieder","regierungsmitglieder","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Unionsparteien","unionsparteien","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Gerichtshöfe","gerichtshöfe","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Ausstattung mit","ausstattung mit","COLLOCATION",0,717,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"dieser Eigenschaft","dies eigenschaft","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Stand :","stand :","COLLOCATION",0,639,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"zwei Wochen","zwei wochen","COLLOCATION",0,962,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein gemeinsames","ein gemeinsames","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein eine","ein eine","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Ein nach","ein nach","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Ausnahmen","ausnahmen","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein besonderes","ein besonderes","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"zum Teil","zum teil","COLLOCATION",0,832,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"acht Jahre","acht jahre","COLLOCATION",0,918,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"der Ministerpräsident laut","der ministerpräsident laut","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"Wehrmacht","wehrmacht","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"unter Bezeichnung","unter bezeichnung","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"des Innern","des innern","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"zu die","zu die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Öffentlichkeit","öffentlichkeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"zu treffen","zu treffen","COLLOCATION",0,693,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Reichsministerpräsident","reichsministerpräsident","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"zusammen mit","zusammen mit","COLLOCATION",0,643,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"im Oktober","im oktob","COLLOCATION",0,703,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Legitimation","legitimation","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Wählers","wählers","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"vor starken","vor starken","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Wahlphase","wahlphase","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"so hat","so hat","COLLOCATION",0,559,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Möglichkeit","möglichkeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"ihrer praktischen","ihr praktischen","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"den geplanten","den geplanten","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Hitlers","hitlers","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"streng zwischen","streng zwisch","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"gewählt werden","gewählt werden","COLLOCATION",0,575,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Streit zwischen","streit zwisch","PHRASAL_VERB",0,700,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"mit gewählten","mit gewählten","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Gesetze des","gesetze des","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Sitzung des","sitzung des","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Führung der","führung der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"↑ Urteil","↑ urteil","COLLOCATION",0,630,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Februar 2022","februar 2022","COLLOCATION",0,815,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Verfügung","verfügung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Machtfülle des","machtfülle des","COLLOCATION",0,601,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Februar 2025","februar 2025","COLLOCATION",0,815,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"sondern der","sondern der","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Herkunft","herkunft","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Im Nachhinein","im nachhinein","COLLOCATION",0,703,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Vorgesetzter","vorgesetzter","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Brandt war","brandt war","COLLOCATION",0,502,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Vertretungsreihenfolge","vertretungsreihenfolge","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"über den","über den","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Aufgabe","aufgabe","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"über der","über der","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Promotion","promotion","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"laut Verfassung","laut verfassung","COLLOCATION",0,989,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Regierungschef","regierungschef","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Artikels","artikels","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"gleichzeitig auf","gleichzeitig auf","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nicht aber","nicht aber","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"und damit","und damit","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Grundsatz","grundsatz","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Personalfreiheit","personalfreiheit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"nicht mehr","nicht mehr","COLLOCATION",0,618,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"zusammengebrochen war","zusammengebroch war","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"den beiden","den beiden","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nach eine","nach eine","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Jahr 1871","jahr 1871","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"die Lastenausgleichsgesetzgebung oder","die lastenausgleichsgesetzgebung oder","COLLOCATION",0,650,3,"https://de.wikipedia.org/wiki/Search_Result_0"
"mit die","mit die","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"er allerdings","er allerdings","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Funktion","funktion","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Mitwirkung","mitwirkung","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"nur noch","nur noch","COLLOCATION",0,573,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Heinrich von","heinrich von","COLLOCATION",0,655,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"nicht um","nicht um","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Pieroth :","pieroth :","COLLOCATION",0,610,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"Unvereinbarkeit","unvereinbarkeit","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"Bürgermeister","bürgermeister","COMPOUND_NOUN",0,800,1,"https://de.wikipedia.org/wiki/Search_Result_0"
"transatlantische Partnerschaft","transatlantisch partnerschaft","COLLOCATION",0,600,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"ein acht","ein acht","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"über eingehende","über eingehende","PHRASAL_VERB",0,750,2,"https://de.wikipedia.org/wiki/Search_Result_0"
"im Parlament","im parlament","COLLOCATION",0,561,2,"https://de.wikipedia.org/wiki/Search_Result_0"
